Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners;id
518;'s-Gravenhage;44;537833;8.2;518
796;'s-Hertogenbosch;45;154205;29.2;796
1680;Aa en Hunze;0;25386;0;1680
358;Aalsmeer;5;31728;15.8;358
197;Aalten;1;27011;3.7;197
59;Achtkarspelen;0;27852;0;59
482;Alblasserdam;3;20069;14.9;482
613;Albrandswaard;8;25271;31.7;613
361;Alkmaar;11;108558;10.1;361
141;Almelo;4;72849;5.5;141
34;Almere;11;207904;5.3;34
484;Alphen aan den Rijn;15;110986;13.5;484
1723;Alphen-Chaam;7;10149;69;1723
1959;Altena;22;55386;39.7;1959
60;Ameland;0;3673;0;60
307;Amersfoort;37;156286;23.7;307
362;Amstelveen;26;90838;28.6;362
363;Amsterdam;161;862965;18.7;363
200;Apeldoorn;16;162445;9.8;200
3;Appingedam;0;11721;0;3
202;Arnhem;15;159265;9.4;202
106;Assen;1;67963;1.5;106
743;Asten;5;16710;29.9;743
744;Baarle-Nassau;1;6847;14.6;744
308;Baarn;1;24767;4;308
489;Barendrecht;9;48673;18.5;489
203;Barneveld;8;57971;13.8;203
888;Beek;5;15929;31.4;888
1954;Beekdaelen;19;35727;53.2;1954
370;Beemster;0;9748;0;370
889;Beesel;3;13519;22.2;889
1945;Berg en Dal;25;34798;71.8;1945
1724;Bergeijk;1;18491;5.4;1724
893;Bergen (L);1;13140;7.6;893
373;Bergen (NH);6;29974;20;373
748;Bergen op Zoom;9;66811;13.5;748
1859;Berkelland;1;43904;2.3;1859
1721;Bernheze;41;30806;133.1;1721
753;Best;11;29821;36.9;753
209;Beuningen;9;25882;34.8;209
375;Beverwijk;6;41176;14.6;375
1728;Bladel;7;20175;34.7;1728
376;Blaricum;4;11202;35.7;376
377;Bloemendaal;8;23410;34.2;377
1901;Bodegraven-Reeuwijk;3;34462;8.7;1901
755;Boekel;32;10588;302.2;755
1681;Borger-Odoorn;0;25372;0;1681
147;Borne;4;23210;17.2;147
654;Borsele;3;22800;13.2;654
756;Boxmeer;6;29065;20.6;756
757;Boxtel;11;30747;35.8;757
758;Breda;133;183873;72.3;758
501;Brielle;1;17182;5.8;501
1876;Bronckhorst;6;36212;16.6;1876
213;Brummen;1;20698;4.8;213
