gemeente_id,Provinciecode,Provincienaam,Gemeentenaam,BevAant,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020
518,28,Zuid-Holland,'s-Gravenhage,537833,0,0,0,0,0,0,0,0,3,2,2,2,3,7,7.0,8.0,9.0,10.0,14.0,17,21,27
796,30,Noord-Brabant,'s-Hertogenbosch,154205,0,0,0,0,0,0,0,0,0,2,2,3,4,5,8.0,11.0,14.0,14.0,20.0,24,30,35
1680,22,Drenthe,Aa en Hunze,25386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
358,27,Noord-Holland,Aalsmeer,31728,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,3.0,3.0,3.0,3.0,3,3,4
197,25,Gelderland,Aalten,27011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
59,21,Friesland,Achtkarspelen,27852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
482,28,Zuid-Holland,Alblasserdam,20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,2
613,28,Zuid-Holland,Albrandswaard,25271,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,2.0,3,4,4
361,27,Noord-Holland,Alkmaar,108558,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1.0,2.0,2,5,9
141,23,Overijssel,Almelo,72849,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,2
34,24,Flevoland,Almere,207904,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1.0,1.0,2.0,2.0,3.0,3,4,5
484,28,Zuid-Holland,Alphen aan den Rijn,110986,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3.0,4.0,6.0,6.0,6.0,6,9,10
1723,30,Noord-Brabant,Alphen-Chaam,10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,2.0,3,6,6
1959,30,Noord-Brabant,Altena,55386,0,0,0,1,1,3,3,4,4,4,4,4,4,4,5.0,8.0,9.0,10.0,12.0,12,15,19
60,21,Friesland,Ameland,3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
307,26,Utrecht,Amersfoort,156286,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0,4.0,4.0,10.0,18.0,21,23,30
362,27,Noord-Holland,Amstelveen,90838,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2.0,3.0,3.0,3.0,4.0,6,7,13
363,27,Noord-Holland,Amsterdam,862965,0,1,1,1,1,0,1,2,2,3,4,4,8,8,11.0,20.0,31.0,31.0,39.0,56,61,85
200,25,Gelderland,Apeldoorn,162445,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,3.0,3.0,7.0,7,10,11
3,20,Groningen,Appingedam,11721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
202,25,Gelderland,Arnhem,159265,0,0,0,0,0,0,0,0,1,1,3,2,2,3,4.0,4.0,4.0,7.0,7.0,8,9,10
106,22,Drenthe,Assen,67963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
743,30,Noord-Brabant,Asten,16710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2,2,2
744,30,Noord-Brabant,Baarle-Nassau,6847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
308,26,Utrecht,Baarn,24767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2
489,28,Zuid-Holland,Barendrecht,48673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,3.0,3.0,3,3,4
203,25,Gelderland,Barneveld,57971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,3.0,4,5,6
888,31,Limburg,Beek,15929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,3.0,3,3,3
1954,31,Limburg,Beekdaelen,35727,0,0,0,0,0,0,0,0,1,2,2,4,5,8,8.0,8.0,9.0,12.0,13.0,15,18,18
370,27,Noord-Holland,Beemster,9748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
889,31,Limburg,Beesel,13519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
1945,25,Gelderland,Berg en Dal,34798,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3.0,5.0,6.0,6.0,10.0,14,14,18
1724,30,Noord-Brabant,Bergeijk,18491,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1,1,1
893,31,Limburg,Bergen (L.),13140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1
373,27,Noord-Holland,Bergen (NH.),29974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1,2,4
748,30,Noord-Brabant,Bergen op Zoom,66811,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,4.0,4.0,5,5,6
1859,25,Gelderland,Berkelland,43904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
1721,30,Noord-Brabant,Bernheze,30806,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4.0,13.0,15.0,16.0,19.0,20,26,30
753,30,Noord-Brabant,Best,29821,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3.0,3.0,3.0,3.0,4.0,5,6,6
209,25,Gelderland,Beuningen,25882,0,0,0,0,0,0,0,0,1,1,5,3,3,3,3.0,3.0,4.0,4.0,5.0,6,6,6
375,27,Noord-Holland,Beverwijk,41176,0,0,0,0,0,0,1,2,2,3,4,4,4,4,5.0,5.0,5.0,5.0,5.0,6,6,6
1728,30,Noord-Brabant,Bladel,20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1,2,3
