Provinciecode,Provincienaam,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020
22,Drenthe,0,0,0,1,1,2,2,3,3,3,8,10,12,12,13.0,13.0,15.0,15.0,16.0,17,22,25,32,38
24,Flevoland,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3.0,7.0,14.0,19.0,22.0,24,30,36,41,50
21,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6.0,7.0,8.0,10.0,13.0,14,18,20,22,33
25,Gelderland,0,0,0,0,0,0,1,2,10,13,26,27,30,36,48.0,64.0,76.0,100.0,135.0,173,210,240,303,362
20,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,9.0,10.0,10,15,29,33,46
31,Limburg,0,0,0,0,0,0,0,2,10,11,16,23,32,48,53.0,67.0,104.0,129.0,149.0,197,258,291,357,408
30,Noord-Brabant,1,1,3,5,8,12,17,24,34,57,93,135,157,218,266.0,360.0,403.0,446.0,554.0,634,728,842,971,1139
27,Noord-Holland,0,1,3,3,3,3,7,9,10,17,22,23,30,35,42.0,63.0,83.0,90.0,115.0,151,173,244,327,429
23,Overijssel,0,0,0,0,0,0,0,1,1,4,9,10,10,12,13.0,18.0,23.0,28.0,36.0,45,58,73,98,161
26,Utrecht,0,0,0,0,3,3,3,23,33,47,52,52,55,67,80.0,83.0,87.0,109.0,140.0,173,197,237,267,313
29,Zeeland,0,0,0,0,0,0,0,0,0,1,1,1,3,6,9.0,9.0,10.0,12.0,17.0,20,26,31,36,46
28,Zuid-Holland,0,0,1,2,3,3,7,12,23,29,34,37,47,57,65.0,81.0,95.0,110.0,136.0,175,232,303,395,469
